Alcoholic
Name,Price,Description, Alcohol%,Package,Category
Martini Vermouth,1299,Sweet Fortified Wine,125,750ml Bottle,Sweet Vermouth
Dillon's Unfiltered,3249,Unfiltered gin 22,400,750ml Bottle,Gin
Buffalo Trace,5299,Corn Bourbon,465,750ml Bottle,Bourbon
Martini Dry Vermouth,1299,Dry Fortified Wine,125,750ml Bottle,Dry Vermouth
Espolon,4349,100% Pure Agave Tequila Reposado,400, 750ml Bottle, Tequila
Fireball, 1210, Cinnamon Whisky Liquor, 330, 200ml Plastic Bottle, Whisky
Blue Curacao, 1150, Blue Curacao Liquor, 150, 750ml Bottle, Liquor
Creme De Cacao, 1150, Creme De Cacao Liquor, 150, 750ml Bottle, Liquor
NonAlcoholic
Name,Price,Description, Carbonated,Sugar Content,Package,Caffiene Content
Clamato,799,Clam and Tomata Juice Mixer,False,11mg,1000ml Plastic Bottle,0mg
Orange Juice,1099,Orange Juice,False,45mg,1L Plastic Bottle,0mg
Tonic,235,Canada Dry Tonic,True,23mg,6x250ml can,0mg
